assertion_id,description,expected,actual,status,evidence_path,notes
G1_marriott_international_cik,Marriott International CIK,1048286,1048286,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Company structure assertion.
G1_marriott_international_fye,Marriott International fiscalYearEnd,1231,1231,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Fiscal year-end assertion.
G1_southwest_airlines_cik,Southwest Airlines CIK,92380,92380,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Company structure assertion.
G1_southwest_airlines_fye,Southwest Airlines fiscalYearEnd,1231,1231,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Fiscal year-end assertion.
G1_ford_motor_company_cik,Ford Motor Company CIK,37996,37996,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Company structure assertion.
G1_ford_motor_company_fye,Ford Motor Company fiscalYearEnd,1231,1231,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Fiscal year-end assertion.
G1_pfizer_cik,Pfizer CIK,78003,78003,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Company structure assertion.
G1_pfizer_fye,Pfizer fiscalYearEnd,1231,1231,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Fiscal year-end assertion.
G1_jpmorgan_chase_cik,JPMorgan Chase CIK,19617,19617,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Company structure assertion.
G1_jpmorgan_chase_fye,JPMorgan Chase fiscalYearEnd,1231,1231,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Fiscal year-end assertion.
G1_salesforce_cik,Salesforce CIK,1108524,1108524,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Company structure assertion.
G1_salesforce_fye,Salesforce fiscalYearEnd,0131,0131,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Fiscal year-end assertion.
G1_lumen_technologies_cik,Lumen Technologies CIK,18926,18926,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Company structure assertion.
G1_lumen_technologies_fye,Lumen Technologies fiscalYearEnd,1231,1231,PASS,/Users/lyuhongwang/Documents/SEC_metrics/outputs/company_resolution.csv,Fiscal year-end assertion.
